job_name,company,company_info,company_size,company_type,city,salary_min,salary_max,exp,education,job_advantage1,job_advantage2,job_advantage3,job_advantage4,job_advantage5,job_advantage6,job_advantage7,job_advantage8,job_advantage9,job_advantage10
告别高不成低不就 月薪过万金融外汇数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '通讯补贴'],
拼一载春秋 搏一生无悔 金融数据分析师,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '交通补贴', '员工旅游', '专业培训', '年终奖金', '绩效奖金', '出国机会', '定期体检'],,
华丽变身职场金领***选择 数据分析师/金融助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,本科,['五险一金', '员工旅游', '交通补贴', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检'],
拿出挣百万的决心  金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '专业培训', '交通补贴', '餐饮补贴', '定期体检'],
坐班无责底薪6000起+金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '通讯补贴'],
一分努力十分收货   金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作'],,
坐班无责底薪6000起+金融数据分析师/助理+五险双休,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '专业培训', '交通补贴', '餐饮补贴', '定期体检'],
拼搏的青春要敢于尝试 金融数据分析师,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,大专,['五险一金', '年终奖金', '绩效奖金', '交通补贴', '专业培训', '定期体检', '员工旅游', '节日福利', '年底双薪'],
地铁沿线&6K起无销售&诚招数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '专业培训', '弹性工作', '出国机会', '绩效奖金', '年终奖金', '员工旅游', '定期体检', '股票期权'],
胆子够大，机会才更多  金融数据分析师,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '年终奖金', '绩效奖金', '交通补贴', '专业培训', '定期体检', '员工旅游', '节日福利', '年底双薪'],
